Kid Sand Airbags,Wheel of the Worst,,,
How to Become a Teenage Ninja,Wheel of the Worst,,,
Dog Sitter,Wheel of the Worst,,,
The Star Wars Holiday Special,Christmas Episode,,,
The Star Wars Holiday Special,Christmas Episode,,,
The Star Wars Holiday Special,Christmas Episode,,,
Ishtar,Christmas Episode,,,
Alienator,X,,,
Alien from the Deep,X,,,
Hands of Steel,X,,,
Blood Debts,X,,,
The Tomb,X,,,
Undefeatable,X,,,
Let's Sing & Dance Music Video,Wheel of the Worst,,,
20th Anniversary Geritol Follies,Wheel of the Worst,,,
Learn Gun Safety with Eddie Eagle,Wheel of the Worst,,,
Lady Terminator,X,,,
Lost in Dinosaur World,X,,,
Low Blow,X,,,
America Online for Internet,Wheel of the Worst,,,
Backyard Stunting: Hits & Misses,Wheel of the Worst,,,
Rainbow Remedy with Rainbow the Clown,Wheel of the Worst,,,
Who's in Charge?,Wheel of the Worst,,,
Future War,Battle of the Genres,,,
The Jar,Battle of the Genres,,,
White Fire,Battle of the Genres,,,
KISS Meets the Phantom of the Park,Halloween Episode,,,
Killer Workout,Halloween Episode,,,
Mystics in Bali,Halloween Episode,,,
The Photon Effect,Battle of the Genres,,,
How I Saved the President,Battle of the Genres,,,
Double Down,Battle of the Genres,,,
Death Wish 3,Christmas or Cannon,,,
The Christmas Tree,Christmas or Cannon,,,
Invasion U.S.A.,Christmas or Cannon,,,
Show Off! How to Be Cool at Parties,Wheel of the Worst,,,
Motherlode,Wheel of the Worst,,,
Exploding Varmints Part 1,Wheel of the Worst,,,
The Order of the Black Eagle,X,,,
Wired to Kill,X,,,
Raiders of Atlantis,X,,,
Double Dragon,Plinketto,,,
Deathstalker,Plinketto,,,
"Doctor Butcher, M.D.",Plinketto,,,
How to Seduce Women Through Hypnosis,Wheel of the Worst,,,
How to Get Revenge,Wheel of the Worst,,,
UPC Codes & 666,Wheel of the Worst,,,
Pocket Ninjas,X,,,
Cyclone,X,,,
Dangerous Men,X,,,
My Twinn,Wheel of the Worst,,,
(Magic) Trick(s) You Can Do!,Wheel of the Worst,,,
Come and Learn the Alphabet,Wheel of the Worst,,,
Mutant Species,Plinketto,,,
The Skateboard Kid,Plinketto,,,
Repo Jake,Plinketto,,,
Parole Violators,X,,,
Future Force,X,,,
Geteven,X,,,
Scary or Die,Halloween Episode,,,
Chopping Mall,Halloween Episode,,,
Exorcist II: The Heretic,Halloween Episode,,,
Get Street Smart: A Kid's Guide To Stranger Dangers,Wheel of the Worst,,,
Safe Crossing: An Egg-celent Idea!,Wheel of the Worst,,,
Traveling With Ooga Booga,Wheel of the Worst,,,
The Entire Fucking Wheel,Wheel of the Worst,,,
Repligator,Christmas or Crocodile,,,
Johnson Family Christmas Dinner,Christmas or Crocodile,,,
Alligator,Christmas or Crocodile,,,
Legend of Gator Face,Christmas or Crocodile,,,
The Survivor,Plinketto,,,
Keaton's Cop,Plinketto,,,
Space Raiders,Plinketto,,,
Carnosaur 2,Sequels,,,
The Skateboard Kid 2,Sequels,,,
Future Zone,Sequels,,,
Biohazard,X,,,
Slaughter High,X,,,
Killpoint,X,,,
Hospital Clowning,Wheel of the Worst,,,
Wormania!,Wheel of the Worst,,,
A Day Full of Joy,Wheel of the Worst,,,
Octopuff and Kumkuat,Wheel of the Worst,,,
Bigfoot vs. D.B. Cooper,X,,,
Black Cougar,X,,,
Raw Force,X,,,
Golden Road: Today's Senior Drivers,Wheel of the Worst,,,
Hangin' with Leo!,Wheel of the Worst,,,
Telepathic Communication with Animals,Wheel of the Worst,,,
The Sweeper,X,,,
Empire of the Dark,X,,,
Mad Foxes,X,,,
Turbulence 3: Heavy Metal,Plinketto,,,
Little Bigfoot,Plinketto,,,
Feeders,Plinketto,,,
Vampire Assassin,Halloween Episode,,,
Hack-O-Lantern,Halloween Episode,,,
Cathy's Curse,Halloween Episode,,,
Manners: Who Needs Them?,Wheel of the Worst,,,
Top Slots - Spotting the Best,Wheel of the Worst,,,
Surviving Edged Weapons,Wheel of the Worst,,,
Karate Cop,Merry Kick-mas,,,
The Christmas Light,Merry Kick-mas,,,
Night of the Kickfighters,Merry Kick-mas,,,
The Nail Gun Massacre,Plinketto,,,
Deathstalker II,Plinketto,,,
Princess Warrior,Plinketto,,,
Blackstreetboyz,Black Spine Edition,,,
Don Beveridge: Customerization Seminar,Black Spine Edition,,,
Plymouth International Ice Spectacular,Black Spine Edition,,,
Partners,Black Spine Edition,,,
Hologram Man,X,,,
Faust,X,,,
Blood Street,X,,,
Rocktober Blood,Plinketto,,,
The Pit,Plinketto,,,
Mankillers,Plinketto,,,
Kill Squad,X,,,
Ryan's Babe,X,,,
Demonwarp,X,,,
Celebration of Age - The Croning Ceremony,Wheel of the Worst,,,
Hug a Tree and Survive Canada,Wheel of the Worst,,,
Mr. Wiggles Sessions Vol. One,Wheel of the Worst,,,
World Wide WEB of Deceit,Wheel of the Worst,,,
Night of the Lepus,Shot on VHS,,,
Zombie 3,Shot on VHS,,,
Pass Thru,Shot on VHS,,,
Silk,Shot on VHS,,,
Carnivore,Halloween Episode,,,
HauntedWeen,Halloween Episode,,,
Black Roses,Halloween Episode,,,
Leap to the Future! Girl Scout Cookie Sale 2000 - Troop Training,Black Spine Edition,,,
Table Manners: Tots to Teens,Black Spine Edition,,,
Kimo's Fierce Fighting! No Holds Barred Vol. 8,Black Spine Edition,,,
Prototype X29A,Plinketto,,,
Quigley,Plinketto,,,
Home Alone 4: Taking Back the House,Plinketto,,,
Two Front Teeth,Christmas or Cats,,,
Uninvited,Christmas or Cats,,,
Christy: Santa's First Female Reindeer,Christmas or Cats,,,
Cybernator,X,,,
The Panther Squad,X,,,
Project: Metalbeast,X,,,
Law Enforcement Guide to Satanic Cults,Wheel of the Worst,,,
Preventing Disaster at the Crossing,Wheel of the Worst,,,
Creating Rem Lezar,Wheel of the Worst,,,
Spookies,Battle of the Genres,,,
Action USA,Battle of the Genres,,,
Alien Private Eye,Battle of the Genres,,,
Experience the Freedom of Naturist Lifestyle,Wheel of the Worst,,,
Orgasmic Birth: The Best-Kept Secret,Wheel of the Worst,,,
Hostage Officer Survival,Wheel of the Worst,,,
Aggregate Training for the Safety Impaired,Wheel of the Worst,,,
Chairobics,Black Spine Junka,,,
Riding Mower Safety,Black Spine Junka,,,
California Big Hunks,Black Spine Junka,,,
A Touch of Magic / Can't Fool Me,Black Spine Junka,,,
Hawk Jones,X,,,
Winterbeast,X,,,
ROAR,X,,,
Demon Cop,Plinketto,,,
Alien Force,Plinketto,,,
Game(s) of Survival,Plinketto,,,
The Instructor,X,,,
Through Dead Eyes,X,,,
Twisted Pair,X,,,
Energy and Me,Wheel of the Worst,,,
Christmas with Dennis,Wheel of the Worst,,,
The Thing About Money,Wheel of the Worst,,,
Shape Up America,Wheel of the Worst,,,
Jack-O,Halloween Episode,,,
Rock n' Roll Nightmare,Halloween Episode,,,
Shark Exorcist,Halloween Episode,,,
Santa Claws,A Very Scary Christmas,,,
Iced,A Very Scary Christmas,,,
Silent Night Deadly Night Part 2,A Very Scary Christmas,,,
Kelly Bear Teaches Respectfulness and Friendship Skills,Black Spine Junka,,,
The Gospel According to St. Bernard,Black Spine Junka,,,
Fire Safety for Older Adults,Black Spine Junka,,,
If You Love Me... Show Me!,Black Spine Junka,,,
Showdown,X,,,
Robot in the Family,X,,,
Bloodz vs. Wolvez,X,,,
Max Magicician and the Legend of the Rings,X,,,
Her Name is Cat,Garbage Pick,,,
Computer Beach Party,Garbage Pick,,,
Mission: Killfast,Garbage Pick,,,
Chihuahua: The Movie,Garbage Pick,,,
Meredith Monk: Turtle Dreams,Wheel of the Worst,,,
Safe Food Attitude,Wheel of the Worst,,,
How to Host a Princess Party,Wheel of the Worst,,,
Massaging the Elderly,Wheel of the Worst,,,
Twin Dragon Encounter,X,,,
American Rickshaw,X,,,
Infested,X,,,
Phobe: The Xenophobic Experiments,X,,,
Shock Em Dead,Halloween Episode,,,
Hollow Gate,Halloween Episode,,,
The Satan Killer,Halloween Episode,,,
It Ain't Worth It / Second Chance Vs. Magnum Force,,,,
How To Carve Great Faces For Halloween / Small Change,,,,
How To Develop Your Psychic Powers / 90 Degrees In the Pool,,,,
Spacejacked,,,,
The Dungeonmaster,,,,
The Suckling,,,,
LA Wars,,,,
Unmasking the Idol,,,,
Robowoman,,,,
How To Have Cybersex On the Internet (1996),,,,
Four Line Conics / Computer Symposium: The Journey Begins / Monsters of Rock and Roar / SCAIHS,,,,
Arranging a Funeral (What Really Happens),,,,
A*P*E,,,,
Easy Kill,,,,
Honorable Men,,,,
Tim Noah Wow Wow Wibble Woggle Wazzie Woodle Woo!?,Wheel of the Worst,,,
T-Bone's World of Clowning,Wheel of the Worst,,,
Spiral Fitness,Wheel of the Worst,,,
Dragon Hunt,,,,
Tartarus,,,,
Born Into Mafia,,,,
Self-Levitation Tape,Black Spine Raffle,,,
Freedom From Pain,Black Spine Raffle,,,
The ABC of Safety Part 1,Black Spine Raffle,,,
Primal Rage,Halloween Episode,,,
Dorm of the Dead,Halloween Episode,,,
Don't Panic,Halloween Episode,,,
Feeders 2,Christmas 2021,,,
Fay's 12 Days of Christmas,Christmas 2021,,,
Santa With Muscles,Christmas 2021,,,
Safety Awareness for Forklifts,Christmas 2021,,,
Melting Man,,,,
Starship,,,,
Lady Avenger,,,,
The Manners Club,Wheel of the Worst,,,
High Impact Hand Safety,Wheel of the Worst,,,
Some Japanese Aids Video,Wheel of the Worst,,,
100 Million BC,Plinketto,,,
Stone Cold,Plinketto,,,
Bog,Plinketto,,,
Mark Lowry - Mouth In Motion,Black Spine Junka,,,
JJ Bittenbinder,Black Spine Junka,,,
Doll Collecting for Fun ,Black Spine Junka,,,
Anti-bullying Lady Video,Black Spine Junka,,,
Silk 2,Scavenger Hunt Too,,,
Ultrawarrior,Scavenger Hunt Too,,,
Blood Freak,Scavenger Hunt Too,,,
Demons at the Door,Halloween Episode,,,
Evil Toons,Halloween Episode,,,
Night Killer,Halloween Episode,,,
Avenging Force,Christmas 2022 ,,,
Barbarians,Christmas 2022 ,,,
Breakin 2 Electric Boogaloo,Christmas 2022 ,,,
Strong Against Crime,Wheel of the Worst,,,
Elder Parent Care: The Family Meeting,Wheel of the Worst,,,
Carman,Wheel of the Worst,,,
Mega Lightning,,,,
Fight Of Fury,,,,
Birdemic 3,,,,
Hawk the Slayer,,,,
Slaughter Day,,,,
The Kid With the X-ray Eyes,,,,
A Woman's Guide to Firearms,Wheel of the Worst,,,
TV and Me,Wheel of the Worst,,,
Fire Safety for Kids,Wheel of the Worst,,,
Back In Action,,,,
Enemy Territory,,,,
Flirting with Magic,Wheel of the Worst,,,
911 CPR Babies,Wheel of the Worst,,,
Senior Surfing,Wheel of the Worst,,,
Killing Spree,Halloween Episode,,,
Night of the Demon,Halloween Episode,,,
Vampire Riderz,Halloween Episode,,,
Face Excercises,Black Spine Junka,,,
Dealing with Difficult People,Black Spine Junka,,,
Auction Video,Black Spine Junka,,,
Title,Type,URL1,URL2,URL3
Hollywood Cop,Spotlight,,,
The Last Vampire on Earth,Spotlight,,,
Suburban Sasquatch,Spotlight,,,
Partners,Spotlight,,,
Lycan Colony,Spotlight,,,
Twister's Revenge!,Spotlight,,,
Petey Wheatstraw,Spotlight,,,
Wicked World,Spotlight,,,
Diamond Cobra vs. The White Fox,Spotlight,,,
Ben and Arthur,Spotlight,,,
Blood Shack (The Chooper),Spotlight,,,
New York Ninja,Spotlight,,,
Clash in the College,Spotlight,,,
Cyborg and Arcade,Spotlight,,,
After Last Season,Spotlight,,,
Wish Upon,Spotlight,,,
